long,lat,nombre,direccion,telefono,horarios_atencion,observaciones,barrio,comuna,codigo_postal,codigo_postal_argentino
-58.38370693339062,-34.63335306169521,Nº 1,"ALCORTA, AMANCIO AV. 1402",4304-1906,LUNES A VIERNES DE 9:00 A 16:00 HS,,BARRACAS,COMUNA 04,1283.0,C1283AAN
-58.44556589729839,-34.61096209052728,Nº 2,ROJAS 881,15-3686-1344,LUNES A VIERNES DE 9:00 A 16:00 HS,,CABALLITO,COMUNA 06,1405.0,C1405ABM
-58.45473056609532,-34.637539641629076,Nº 3,"BONORINO, ESTEBAN, CNEL. AV. 897",4679-0900,LUNES A VIERNES DE 9:00 A 16:00 HS,,FLORES,COMUNA 07,1406.0,C1406DMQ
-58.49751597763145,-34.636196903291605,Nº 4,YERBAL 5025,4636-0649,LUNES A VIERNES DE 9:00 A 16:00 HS,,VILLA LURO,COMUNA 10,1407.0,C1407EBI
-58.463186353193294,-34.578968999409454,Nº 5,HEREDIA 1253,15-3684-8630,LUNES A VIERNES DE 9:00 A 16:00 HS,,VILLA ORTUZAR,COMUNA 15,1427.0,C1427CNU
-58.38370693339062,-34.63335306169521,Nº 6,"ALCORTA, AMANCIO AV. 1402",4304-1906,LUNES A VIERNES DE 9:00 A 16:00 HS,,BARRACAS,COMUNA 04,1283.0,C1283AAN
-58.39134957465014,-34.62367140714866,Nº 7,ENTRE RIOS AV. 1260,15-3680-9676,LUNES A VIERNES DE 9:00 A 16:00 HS,,CONSTITUCION,COMUNA 01,1133.0,C1133AAN
-58.50320662979248,-34.58120278271628,Nº 8,CONDARCO 5155,4571-5779,LUNES A VIERNES DE 9:00 A 16:00 HS,,VILLA PUEYRREDON,COMUNA 12,1419.0,C1419DQE
-58.430634096604884,-34.57975681329982,Nº 9,PARAGUAY 5170,4771-1983,LUNES A VIERNES DE 9:00 A 16:00 HS,,PALERMO,COMUNA 14,1425.0,C1425BTF
-58.49126549128218,-34.678112131503674,Nº 10,2 DE ABRIL DE 1982 Y MONTIEL,4638-1184,LUNES A VIERNES DE 9:00 A 16:00 HS,,VILLA LUGANO,COMUNA 08,,
-58.47934880132925,-34.64995976100541,Nº 12,"BILBAO, FRANCISCO 4310",15-3686-5953,LUNES A VIERNES DE 9:00 A 16:00 HS,,PARQUE AVELLANEDA,COMUNA 09,1407.0,C1407HPB
-58.430634096604884,-34.57975681329982,Nº 13,PARAGUAY 5170,4771-1983,LUNES A VIERNES DE 9:00 A 16:00 HS,,PALERMO,COMUNA 14,1425.0,C1425BTF
-58.43194288172035,-34.59617549907172,Nº 15,JUFRE 350,4774-0303,LUNES A VIERNES DE 9:00 A 16:00 HS,,VILLA CRESPO,COMUNA 15,1414.0,C1414AYH
-58.47427297805831,-34.686745195332755,Nº 16,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. 6380",15-3686-1329,LUNES A VIERNES DE 9:00 A 16:00 HS,,VILLA RIACHUELO,COMUNA 08,1439.0,C1439CPP
-58.413542504548815,-34.61821870920354,Nº 17,AGRELO 3356,15-3684-8607,LUNES A VIERNES DE 9:00 A 16:00 HS,,ALMAGRO,COMUNA 05,1224.0,C1224ABF
-58.50320662979248,-34.58120278271628,Nº 18,CONDARCO 5155,4571-5779,LUNES A VIERNES DE 9:00 A 16:00 HS,,VILLA PUEYRREDON,COMUNA 12,1419.0,C1419DQE
-58.376204497895976,-34.62477531499186,Nº 19,"GARAY, JUAN DE AV. 765",4300-1656,LUNES A VIERNES DE 9:00 A 16:00 HS,,SAN TELMO,COMUNA 01,1153.0,C1153ABF
-58.48855795531164,-34.55032580741456,Nº 20,TRONADOR 4460,15-3682-9926,LUNES A VIERNES DE 9:00 A 16:00 HS,,SAAVEDRA,COMUNA 12,1430.0,C1430DNF
-58.505839305659066,-34.64911273527296,Nº 21,ZELADA 6054,15-3686-4452,LUNES A VIERNES DE 9:00 A 16:00 HS,,MATADEROS,COMUNA 09,1440.0,C1440BWT
-58.368896772105806,-34.63216264334713,Nº 22,HERNANDARIAS 370,4361-4624,LUNES A VIERNES DE 9:00 A 16:00 HS,,BOCA,COMUNA 04,1165.0,C1165ADF
-58.36097190332009,-34.63793674070542,Nº 23,PALOS 761,4303-7312,LUNES A VIERNES DE 9:00 A 16:00 HS,,BOCA,COMUNA 04,1160.0,C1160ACK
-58.496321485695496,-34.66796459122349,Nº 24,YRUPE 6701,4686-5804,LUNES A VIERNES DE 9:00 A 16:00 HS,,MATADEROS,COMUNA 09,1440.0,C1440BNC
-58.43386235835057,-34.66119279573987,Nº 25,"RAMIREZ, CARLOS M. 2689",15-3702-6745,LUNES A VIERNES DE 9:00 A 16:00 HS,,VILLA SOLDATI,COMUNA 08,1437.0,C1437FNI
-58.468378961795594,-34.58790331815028,Nº 26,ESTOMBA 294,15-3686-6327,LUNES A VIERNES DE 9:00 A 16:00 HS,,VILLA ORTUZAR,COMUNA 15,1427.0,C1427COF
-58.49443298181475,-34.63810419298927,Nº 27,"FALCON, RAMON L.,CNEL. 4778",4672-1975,LUNES A VIERNES DE 9:00 A 16:00 HS,,VILLA LURO,COMUNA 10,1407.0,C1407GTD
-58.43508965360334,-34.636600009801505,Nº 28,PICHEUTA 1517,15-3686-0810,LUNES A VIERNES DE 9:00 A 16:00 HS,,PARQUE CHACABUCO,COMUNA 07,1424.0,C1424APE
-58.40812672581818,-34.63747128392533,Nº 29,CASEROS AV. 3157,15-3684-7639,LUNES A VIERNES DE 9:00 A 16:00 HS,,PARQUE PATRICIOS,COMUNA 04,1263.0,C1263AAA
-58.51212905750654,-34.617490912352444,Nº 31,BERMUDEZ 2316,4566-3187,LUNES A VIERNES DE 9:00 A 16:00 HS,,MONTE CASTRO,COMUNA 10,1417.0,C1417BWJ
-58.430634096604884,-34.57975681329982,CENTRO CULTURAL,PARAGUAY 5170,4771-1983,LUNES A VIERNES DE 9:00 A 16:00 HS,,PALERMO,COMUNA 14,1425.0,C1425BTF
-58.37645427730706,-34.62488282761012,CENTRO DE DIA MODELO,"GARAY, JUAN DE AV. 799",,LUNES A VIERNES DE 9:00 A 16:00 HS,CENTRO ESPECIALIZADO EN LA ATENCION A ADULTOS MAYORES CON ALZHEIMER,SAN TELMO,COMUNA 01,1153.0,C1153ABF
